"feature","est_rho","lower_rho","upper_rho","bias_slope","blalt_mean","blalt_delta.sd","blalt_lower","blalt_upper"
"original_shape_Elongation","0.796361626522919","0.608279686735371","0.899765510427157","0.993788366650527","-0.0152487293777913","0.0876134341385758","-0.186967904851272","0.156470446095689"
"original_shape_Flatness","0.950901046230811","0.897495066671214","0.976821921515288","0.998879266186234","-0.00534928628816236","0.0511456578677611","-0.105592933674582","0.0948943610982571"
"original_shape_LeastAxisLength","0.989327248206163","0.977499699899819","0.994953372826943","0.99949290303429","0.114631287058117","1.80505881889188","-3.42321898794638","3.65248156206262"
"original_shape_MajorAxisLength","0.98343697299477","0.964658654398653","0.992276817155884","0.999940742330607","0.0225756690574313","3.15847478690225","-6.16792115934881","6.21307249746367"
"original_shape_Maximum2DDiameterColumn","0.968044975265881","0.932335709621709","0.985054728428664","0.999843064235537","-0.329235419006266","4.9463226672295","-10.0238497026902","9.36537886467764"
"original_shape_Maximum2DDiameterRow","0.986328861572236","0.970780093899863","0.993630416172864","0.999818034322118","0.338168884110805","3.40781606202346","-6.34102786339229","7.0173656316139"
"original_shape_Maximum2DDiameterSlice","0.977918763764434","0.953399792503457","0.989605582781966","0.999294774950877","0.389647957302982","4.37349761389077","-8.18224985239479","8.96154576700075"
"original_shape_Maximum3DDiameter","0.977079449133574","0.951291358287784","0.989289347778037","0.9998664889201","0.167144492548325","4.87106322265104","-9.37996399026532","9.71425297536198"
"original_shape_MeshVolume","0.995731305876692","0.991015582718279","0.997974367812277","0.999694320792567","376.44047619048","3108.93839350305","-5716.96680522931","6469.84775761027"
"original_shape_MinorAxisLength","0.984881180206485","0.96833238149607","0.992813516278709","0.999118434649178","-0.166066009036919","2.42541423260337","-4.91979055253037","4.58765853445653"
"original_shape_Sphericity","0.875509169157754","0.749872821053493","0.940196357975934","0.997966120802669","-0.00539789985865115","0.044466566229025","-0.0925507681837051","0.0817549684664028"
"original_shape_SurfaceArea","0.982786129845435","0.963999119492416","0.991810047448504","0.998927980207265","82.6923511984748","936.426862786158","-1752.67057401823","1918.05527641518"
"original_shape_SurfaceVolumeRatio","0.990198138918886","0.979346555718394","0.99536152307612","0.99943915434557","0.00284319937155559","0.0269370682216865","-0.0499524841920483","0.0556388829351595"
"original_firstorder_10Percentile","0.932358868119187","0.860224912525145","0.967908737648259","0.998623082652862","-7.80558527537752","83.3733837673996","-171.214414728717","155.603244177962"
"original_firstorder_90Percentile","0.966091395829209","0.928428475928115","0.984098470004723","0.997562531344656","5.73560630253381","21.0061476224859","-35.4356864914702","46.9068990965379"
"original_firstorder_Energy","0.9970360595809","0.993698771815209","0.99860707132481","0.999840528210232","47855043.6916971","332942387.367289","-604700044.474973","700410131.858367"
"original_firstorder_Entropy","0.90322023678251","0.80514018806848","0.953212570746356","0.993763683504554","0.03379175986584","0.196971192663029","-0.352264683745597","0.419848203477277"
"original_firstorder_InterquartileRange","0.824171872523677","0.670382854664918","0.910070768882682","0.975342905013619","11.9893329271248","75.5634041643845","-136.112217784313","160.090883638562"
"original_firstorder_Kurtosis","0.86262404115729","0.734064694572029","0.931490173706002","0.987998579513143","-0.00367635235105631","0.900525779754626","-1.76867444781997","1.76132174311786"
"original_firstorder_Maximum","0.84989295305608","0.707624769450378","0.92593673530904","0.991391197748815","5.62771170479911","72.6723351098029","-136.80744778284","148.062871192438"
"original_firstorder_Mean","0.944656076361679","0.884350408492747","0.973949984360465","0.999942303497112","0.833056999725915","41.5703733050545","-80.6433775020662","82.3094915015181"
"original_firstorder_MeanAbsoluteDeviation","0.916779753843331","0.834375800767003","0.959098949927313","0.990034517104692","4.97371150578982","26.6238558362453","-47.2080870628374","57.1555100744171"
"original_firstorder_Median","0.953120463173946","0.905429611097167","0.977050978818897","0.994750792799564","3.36239650845528","38.6334749953509","-72.3578230800611","79.0826160969717"
"original_firstorder_Minimum","0.908898607978889","0.813418637543169","0.956685320506528","0.999099756957691","-8.68130275181362","88.5398709057505","-182.21626092291","164.853655419283"
"original_firstorder_Range","0.857720559172545","0.716810955217412","0.931320992106388","0.997500386379625","14.3090144566127","108.992516757065","-199.312392971612","227.930421884838"
"original_firstorder_RobustMeanAbsoluteDeviation","0.878549721553643","0.765134951484856","0.93908720822743","0.982680741355397","5.01356818232888","25.9417722667146","-45.8313711555717","55.8585075202294"
